file,label,game_idx,swapped,result,total_moves,last_book_ply,book_time_white,book_time_black,opening_phase_time_white,opening_phase_time_black,opening_phase_plies
metrics_minimax_trad_d4_book_off_g11_orig.jsonl,minimax_trad_d4_book_off,11,False,0-1,120,0,0.0,0.0,6.829,5.599,20
metrics_minimax_trad_d4_book_off_g12_orig.jsonl,minimax_trad_d4_book_off,12,False,0-1,120,0,0.0,0.0,6.899,5.665,20
metrics_minimax_trad_d4_book_off_g13_orig.jsonl,minimax_trad_d4_book_off,13,False,0-1,120,0,0.0,0.0,6.862,5.616,20
metrics_minimax_trad_d4_book_off_g14_orig.jsonl,minimax_trad_d4_book_off,14,False,0-1,120,0,0.0,0.0,6.878,5.624,20
metrics_minimax_trad_d4_book_off_g15_orig.jsonl,minimax_trad_d4_book_off,15,False,0-1,120,0,0.0,0.0,6.875,5.615,20
metrics_minimax_trad_d4_book_off_g16_orig.jsonl,minimax_trad_d4_book_off,16,False,0-1,120,0,0.0,0.0,6.887,5.64,20
metrics_minimax_trad_d4_book_off_g17_orig.jsonl,minimax_trad_d4_book_off,17,False,0-1,120,0,0.0,0.0,6.913,5.66,20
metrics_minimax_trad_d4_book_off_g18_orig.jsonl,minimax_trad_d4_book_off,18,False,0-1,120,0,0.0,0.0,6.894,5.649,20
metrics_minimax_trad_d4_book_off_g19_orig.jsonl,minimax_trad_d4_book_off,19,False,0-1,120,0,0.0,0.0,6.886,5.638,20
metrics_minimax_trad_d4_book_off_g1_orig.jsonl,minimax_trad_d4_book_off,1,False,0-1,120,0,0.0,0.0,6.959,5.711,20
metrics_minimax_trad_d4_book_off_g20_orig.jsonl,minimax_trad_d4_book_off,20,False,0-1,120,0,0.0,0.0,6.916,5.67,20
metrics_minimax_trad_d4_book_off_g21_swap.jsonl,minimax_trad_d4_book_off,21,True,0-1,120,0,0.0,0.0,6.872,5.632,20
metrics_minimax_trad_d4_book_off_g22_swap.jsonl,minimax_trad_d4_book_off,22,True,0-1,120,0,0.0,0.0,6.866,5.627,20
metrics_minimax_trad_d4_book_off_g23_swap.jsonl,minimax_trad_d4_book_off,23,True,0-1,120,0,0.0,0.0,6.897,5.645,20
metrics_minimax_trad_d4_book_off_g24_swap.jsonl,minimax_trad_d4_book_off,24,True,0-1,120,0,0.0,0.0,6.893,5.644,20
metrics_minimax_trad_d4_book_off_g25_swap.jsonl,minimax_trad_d4_book_off,25,True,0-1,120,0,0.0,0.0,6.845,5.599,20
metrics_minimax_trad_d4_book_off_g26_swap.jsonl,minimax_trad_d4_book_off,26,True,0-1,120,0,0.0,0.0,6.866,5.625,20
metrics_minimax_trad_d4_book_off_g27_swap.jsonl,minimax_trad_d4_book_off,27,True,0-1,120,0,0.0,0.0,6.856,5.611,20
metrics_minimax_trad_d4_book_off_g28_swap.jsonl,minimax_trad_d4_book_off,28,True,0-1,120,0,0.0,0.0,6.87,5.627,20
metrics_minimax_trad_d4_book_off_g29_swap.jsonl,minimax_trad_d4_book_off,29,True,0-1,120,0,0.0,0.0,6.918,5.665,20
metrics_minimax_trad_d4_book_off_g2_orig.jsonl,minimax_trad_d4_book_off,2,False,0-1,120,0,0.0,0.0,7.038,5.779,20
metrics_minimax_trad_d4_book_off_g30_swap.jsonl,minimax_trad_d4_book_off,30,True,0-1,120,0,0.0,0.0,6.893,5.656,20
metrics_minimax_trad_d4_book_off_g31_swap.jsonl,minimax_trad_d4_book_off,31,True,0-1,120,0,0.0,0.0,6.928,5.673,20
metrics_minimax_trad_d4_book_off_g32_swap.jsonl,minimax_trad_d4_book_off,32,True,0-1,120,0,0.0,0.0,6.909,5.668,20
