"Matchup","Game","White","Black","Swapped","OpeningIdx","Result","Termination","TimeSec","ExitCode"
"minimax_trad_d3_vs_minimax_trad_d4","28","MINIMAX_TRAD","MINIMAX_TRAD","True","2","1/2-1/2","draw_3fold_claim","50,75","0"
"minimax_trad_d3_vs_minimax_trad_d4","29","MINIMAX_TRAD","MINIMAX_TRAD","True","3","0-1","checkmate","42,13","0"
"minimax_trad_d3_vs_minimax_trad_d4","30","MINIMAX_TRAD","MINIMAX_TRAD","True","4","1/2-1/2","draw_3fold_claim","47,69","0"
"minimax_trad_d4_vs_minimax_trad_d4","1","MINIMAX_TRAD","MINIMAX_TRAD","False","0","1/2-1/2","draw_3fold_claim","57,17","0"
"minimax_trad_d4_vs_minimax_trad_d4","2","MINIMAX_TRAD","MINIMAX_TRAD","False","1","1/2-1/2","draw_3fold_claim","56,61","0"
"minimax_trad_d4_vs_minimax_trad_d4","3","MINIMAX_TRAD","MINIMAX_TRAD","False","2","0-1","checkmate","45","0"
"minimax_trad_d4_vs_minimax_trad_d4","4","MINIMAX_TRAD","MINIMAX_TRAD","False","3","0-1","checkmate","64,33","0"
"minimax_trad_d4_vs_minimax_trad_d4","5","MINIMAX_TRAD","MINIMAX_TRAD","False","4","1/2-1/2","draw_3fold_claim","45,54","0"
"minimax_trad_d4_vs_minimax_trad_d4","6","MINIMAX_TRAD","MINIMAX_TRAD","False","5","1-0","checkmate","63,6","0"
"minimax_trad_d4_vs_minimax_trad_d4","7","MINIMAX_TRAD","MINIMAX_TRAD","False","6","1/2-1/2","draw_3fold_claim","103,01","0"
"minimax_trad_d4_vs_minimax_trad_d4","8","MINIMAX_TRAD","MINIMAX_TRAD","False","7","1-0","checkmate","97","0"
"minimax_trad_d4_vs_minimax_trad_d4","9","MINIMAX_TRAD","MINIMAX_TRAD","False","8","1/2-1/2","draw_3fold_claim","29,11","0"
"minimax_trad_d4_vs_minimax_trad_d4","10","MINIMAX_TRAD","MINIMAX_TRAD","False","9","1/2-1/2","draw_3fold_claim","50,71","0"
"minimax_trad_d4_vs_minimax_trad_d4","11","MINIMAX_TRAD","MINIMAX_TRAD","False","10","0-1","checkmate","49,3","0"
"minimax_trad_d4_vs_minimax_trad_d4","12","MINIMAX_TRAD","MINIMAX_TRAD","False","11","1/2-1/2","draw_3fold_claim","67,09","0"
"minimax_trad_d4_vs_minimax_trad_d4","13","MINIMAX_TRAD","MINIMAX_TRAD","False","12","1/2-1/2","draw_3fold_claim","72,86","0"
"minimax_trad_d4_vs_minimax_trad_d4","14","MINIMAX_TRAD","MINIMAX_TRAD","False","13","1/2-1/2","draw_3fold_claim","60,65","0"
"minimax_trad_d4_vs_minimax_trad_d4","15","MINIMAX_TRAD","MINIMAX_TRAD","False","14","0-1","checkmate","50,24","0"
"minimax_trad_d4_vs_minimax_trad_d4","16","MINIMAX_TRAD","MINIMAX_TRAD","True","15","1-0","checkmate","73,1","0"
"minimax_trad_d4_vs_minimax_trad_d4","17","MINIMAX_TRAD","MINIMAX_TRAD","True","16","1-0","checkmate","42,78","0"
"minimax_trad_d4_vs_minimax_trad_d4","18","MINIMAX_TRAD","MINIMAX_TRAD","True","17","1-0","checkmate","68,56","0"
