label,side,eval_mean,eval_std,eval_median,time_s_mean,time_s_std,time_s_median,phase_mean,phase_std,phase_median,iterations_mean,iterations_std,iterations_median,nodes_created_mean,nodes_created_std,nodes_created_median,max_depth_mean,max_depth_std,max_depth_median,eval_calls_mean,eval_calls_std,eval_calls_median,eval_cache_hits_mean,eval_cache_hits_std,eval_cache_hits_median,skipped_terminals_mean,skipped_terminals_std,skipped_terminals_median,reused_visits_mean,reused_visits_std,reused_visits_median,root_children_count_mean,root_children_count_std,root_children_count_median,best_child_visits_mean,best_child_visits_std,best_child_visits_median,root_visit_entropy_mean,root_visit_entropy_std,root_visit_entropy_median,convergence_point_mean,convergence_point_std,convergence_point_median,avg_backprop_depth_mean,avg_backprop_depth_std,avg_backprop_depth_median,c_puct_mean,c_puct_std,c_puct_median,throughput_iter_per_s_mean,throughput_iter_per_s_std,throughput_iter_per_s_median,throughput_eval_per_s_mean,throughput_eval_per_s_std,throughput_eval_per_s_median,eval_cache_hit_rate_mean,eval_cache_hit_rate_std,eval_cache_hit_rate_median
mcts_trad_10s_vs_mcts_trad_20s,BLACK,0.5947865325822924,0.26820464899794494,0.6300211083302677,19.717863022019742,2.6993893076456983,20.0326,0.3374892970807283,0.36745143223907306,0.18936170212765954,946876.3986332574,3030120.1900757444,27904.0,27270.15869400152,33239.75265394305,16512.0,14.612756264236902,5.408011175509749,15.0,27254.656036446468,33228.99359939389,16510.0,11787.865603644646,28971.94414656392,1720.0,919606.2399392559,3037433.0729044694,0.0,26358.151860288533,38160.909209222045,12627.0,25.43204252088079,12.405177362061735,28.0,40297.321943811694,50030.138962443816,24173.0,1.010697418375095,0.7211051369174756,0.843,0.06610895975702354,0.19328805360751647,0.0,8.238481397114654,3.634217529784784,8.4,2.0,0.0,2.0,47359.90387243735,151497.86708942766,1415.1,1380.1246772968868,1689.2342331268833,830.5,0.22146112376613517,0.2405859880932831,0.1198
mcts_trad_10s_vs_mcts_trad_20s,WHITE,0.42841567537578784,0.2668879160605439,0.39786188581735993,9.94682268274303,1.215464011573069,10.0352,0.3464474338212894,0.37238548729596255,0.18936170212765954,396391.2871137905,1284809.5126707053,13696.0,14722.64280331575,17166.846635308946,9216.0,12.370007535795027,4.299262125817541,12.0,14714.184626978145,17161.31527641209,9216.0,5823.351168048229,14496.350584968599,845.0,381668.64431047474,1288547.0179002122,0.0,10041.434815373023,16327.47091470912,4001.0,25.56066314996232,13.343327700766265,28.0,16113.558402411454,21761.33143584398,8741.0,1.355599397136398,0.7471510763692282,1.3046,0.15083594574227582,0.26677180052640415,0.0,7.16255463451394,2.691829971808388,7.16,2.0,0.0,2.0,39656.877392614915,128470.01008637322,1376.7,1491.1387339864357,1759.0377732268348,939.7,0.20265305199698566,0.22727032877552242,0.1046
mcts_trad_1s_vs_mcts_trad_20s,BLACK,0.8175413616264683,0.19874145299093957,0.9068819455196798,19.299827534965036,3.8315133135167163,20.030749999999998,0.3192815429251599,0.34103589345745017,0.1953191489361702,673742.7526223776,2365677.477591601,29888.0,34792.25874125874,38431.502197540896,23168.0,13.027972027972028,4.37553695193682,13.0,34769.416958041955,38425.8399553128,23161.5,15746.643356643357,34521.79659128698,3259.5,638950.4938811188,2373818.0094018457,0.0,10831.530594405594,27048.403579223315,3710.0,27.76486013986014,12.844236339873436,31.0,26838.054195804194,41148.40878779932,17844.5,1.4044366258741259,0.9458968948986892,1.24805,0.13507010489510488,0.2592057488952674,0.0,7.265227272727273,2.6939950625642983,7.27,2.0,0.0,2.0,33703.18548951049,118275.77188434353,1512.5,1755.3965034965036,1915.2116404288854,1170.45,0.24959335664335666,0.23573700834549452,0.16720000000000002
mcts_trad_1s_vs_mcts_trad_20s,WHITE,0.2120631915977621,0.21485784797997853,0.13153025762672593,1.0679843018213357,0.26730172679474135,1.0354,0.3269633333948441,0.3466627334888915,0.20085106382978718,25128.405030355592,120569.57072322103,1536.0,2154.0919340849955,2217.9911128339154,1408.0,7.740676496097138,2.225456857032129,8.0,2152.486556808326,2217.7718552123997,1408.0,694.8820468343451,1666.765187181437,115.0,22974.313096270598,120916.6422773636,0.0,240.8508239375542,580.7514306955795,73.0,20.028620988725066,13.648745093521494,20.0,836.3911535125759,1128.9224069258134,488.0,1.981828534258456,0.8005247262273716,2.0756,0.28826313963573286,0.3375815639654664,0.125,5.01836947094536,1.2078585757724984,5.04,2.0,0.0,2.0,25054.690980052037,120541.17646973206,1506.0,2081.7339982653943,2179.3876924811384,1365.5,0.16691812662619254,0.19536380057639657,0.0901
mcts_trad_20s_vs_mcts_trad_20s,BLACK,0.4315995714974508,0.21494072388446359,0.4401408298358751,19.908190408017177,2.059323784089319,20.0435,0.4117589363225148,0.36899084815967326,0.3470212765957447,424843.40730136004,1843918.7181559682,22912.0,27155.232641374372,30108.108236697437,16384.0,16.971367215461704,9.281912915453935,16.0,27125.977809591983,30081.760009578295,16383.0,11380.544738725841,25573.80862143472,1605.0,397688.1746599857,1848877.053979731,0.0,34657.61560486758,49131.415489776715,18434.0,27.25125268432355,12.557683817352308,30.0,47687.67716535433,60312.96550112331,27174.0,0.9685236936292053,0.6343541026542315,0.8538,0.08130823192555475,0.2074948865240288,0.0,9.564874731567645,5.556777200249054,9.05,2.0,0.0,2.0,21235.80157480315,92194.97571383977,1143.3,1350.6083750894775,1493.2426933779577,823.1,0.21146513958482463,0.2412063648682088,0.1079
mcts_trad_20s_vs_mcts_trad_20s,WHITE,0.5851171680342984,0.21392036700499845,0.5754340813779252,19.921140184266477,2.0923543875298183,20.0501,0.4185270745057828,0.3714419086711745,0.35404255319148936,407534.591070163,1924670.4583897137,22272.0,27040.398299078668,29520.149404426884,16384.0,16.866761162296243,8.85465582939848,16.0,27011.221828490434,29492.775286362794,16383.0,11271.39546420978,25258.443030795694,1543.0,380494.1927710843,1929181.175510655,0.0,34099.31750531538,48758.2366811657,17403.0,29.773919206236712,12.91551599249264,32.0,48273.46350106307,63124.102596252225,26984.0,0.9590336640680369,0.6918480323700394,0.8174,0.07956881644223955,0.2151836828556516,0.0,9.523231750531538,5.352977223117816,9.01,2.0,0.0,2.0,20368.40616583983,96232.89698458392,1112.3,1342.8373493975903,1457.9474834595442,817.4,0.20573281360737064,0.23918223784643144,0.1022
mcts_trad_40s_vs_mcts_trad_20s,BLACK,0.2856505381494158,0.19039766151875384,0.2724427066957259,19.941775569044008,2.096888252449311,20.0388,0.37359748813482707,0.3760050593280368,0.26021276595744675,727205.18892261,2697148.30659857,28032.0,32166.533383915023,36258.914976389184,19648.0,14.98330804248862,5.9108559236493265,14.0,32146.109256449166,36248.65778384138,19644.0,15893.981790591806,32702.98459426119,2396.0,695038.655538695,2704056.2157017933,0.0,28819.156297420333,48494.13933120596,11127.0,22.68361153262519,12.997431730686387,25.0,43294.92033383915,59577.16181823662,23387.0,1.136040895295903,0.6411879805586382,1.1035499999999998,0.12412010622154782,0.24520367019352413,0.0,8.501934749620636,3.823150235989483,8.125,2.0,0.0,2.0,36360.81585735963,134853.81114945802,1404.5,1605.6624430955994,1790.7536155090036,996.3,0.25590470409711685,0.2748143041302982,0.13274999999999998
mcts_trad_40s_vs_mcts_trad_20s,WHITE,0.7242206526497874,0.18979393856911103,0.7443730410531642,39.51658909634055,4.909645322281286,40.0318,0.3812664261992913,0.37917327266647494,0.2717021276595744,1416206.0657206872,4793191.352658303,56192.0,59874.695294996265,69630.67432012131,36352.0,17.796116504854368,7.72574268302755,17.0,59836.7572815534,69611.0202787262,36350.0,30540.56833457804,62397.216978947545,4828.0,1356331.370425691,4807685.64877009,0.0,72787.3427931292,111473.45107268168,36653.0,30.041075429424943,12.726769359675146,32.0,103470.71321882002,135658.22579044473,57991.0,0.9205232262882749,0.7826195628688944,0.6907,0.05744578043315907,0.1768308473308813,0.0,9.799910380881254,4.690581902800566,9.65,2.0,0.0,2.0,35404.25817774459,119828.05509206804,1425.0,1495.1234503360718,1718.8622325761662,919.1,0.2639022404779686,0.27335116826308087,0.147
mcts_trad_5s_vs_mcts_trad_20s,BLACK,0.7086022562336931,0.27043929823866086,0.7866367550521607,19.47725457685665,3.410686992114193,20.03635,0.3655692132436703,0.3610322401825988,0.2717021276595744,715116.9093264248,2390911.764618966,28288.0,31099.773747841104,34185.156223647624,19776.0,14.211571675302245,6.346870885942701,14.0,31080.76597582038,34175.3035066726,19735.5,14259.778929188256,30342.800401441757,2574.0,684017.1355785838,2398575.554938993,0.0,20672.168393782384,48883.22642817064,7173.0,27.930915371329878,11.961349207945661,30.0,35006.04749568221,55483.65175301592,19218.5,1.235534628670121,0.9225536351525949,0.96825,0.09149196891191709,0.2222510221571088,0.0,8.023445595854922,3.5556022422596834,7.76,2.0,0.0,2.0,35758.82728842832,119540.84930503549,1427.8,1558.1456822107082,1701.5622090086938,1001.6,0.24318307426597582,0.24584952974871152,0.14375
mcts_trad_5s_vs_mcts_trad_20s,WHITE,0.317169026861841,0.27634478608428525,0.24563468041803477,5.002111254295533,0.7685662042421295,5.04035,0.3749023908751919,0.36573963746269444,0.2717021276595744,168019.30240549828,657429.5832262181,6912.0,8342.233676975946,8974.069647022632,5376.0,10.450171821305842,3.676762329254652,10.0,8336.639175257733,8971.359327283564,5376.0,3316.6039518900343,7572.535248046573,504.0,159677.06872852234,659230.6428686368,0.0,2734.664089347079,5837.424378859093,790.5,23.488831615120276,14.053296624321815,26.0,5959.515463917526,8592.066608961451,3134.5,1.6548155498281787,0.8161526816934324,1.653,0.21528780068728523,0.3011274883438236,0.00045,6.223917525773196,2.157591635303416,6.0,2.0,0.0,2.0,33575.3706185567,131480.61836065323,1394.0,1641.2406357388318,1675.2295311702344,1080.3000000000002,0.20218505154639174,0.23056624472618284,0.1054
